Hemiksem|51.15|4.35
Hensies|50.4333|3.66667
Herdersem|50.9667|4.06667
Herent|51.2|5.45
Herentals|51.1833|4.83333
Hermalle-sous-Huy|50.55|5.36667
Hermeton-sur-Meuse|50.2|4.81667
Herstal|50.6667|5.63333
Hever|51|4.55
Hoboken|51.1667|4.35
Hofstade|50.9667|4.03333
Hollain|50.5333|3.41667
Houdeng-Aimeries|50.4833|4.13333
Houdeng-Goegnies|50.4833|4.15
Hourpes|50.3667|4.28333
Houx|50.3|4.9
Humbeek|50.9667|4.38333
Huy|50.5167|5.23333
Ingelmunster|50.9167|3.25
Isi�res|50.6667|3.81667
Itter (Ittre)|50.65|4.26667
Ittre (Itter)|50.65|4.26667
Ivoz-Ramet|50.5833|5.43333
Izegem|50.9167|3.2
Jambes|50.45|4.88333
Java|50.5167|5.15
Jemeppe-sur-Sambre|50.4667|4.66667
Jupille-sur-Meuse|50.65|5.63333
Kachtem|50.9333|3.18333
Kain|50.6333|3.36667
Kallo|51.25|4.28333
Kampenhout|50.95|4.55
Kanne (Canne)|50.8167|5.66667
Kapelle-op-den-Bos|51.0167|4.36667
Kaulille|51.1833|5.51667
Kerkhove|50.8|3.5
Kessenich|51.15|5.81667
Kieldrecht|51.2833|4.16667
Kinrooi|51.15|5.75
Klein Veerle|51.3333|4.66667
Kluisbergen|50.7833|3.51667
Knesselaere|51.1333|3.41667
Kortrijk|50.8333|3.26667
Kruibeke|51.1667|4.31667
Kuringen|50.95|5.3
Kuurne|50.85|3.28333
Kwaadmechelen|51.1|5.13333
La Roche-en-Ardenne|50.1833|5.58333
Labuissi�re|50.3167|4.16667
Ladeuze|50.5667|3.76667
Lanaken|50.8833|5.65
Lanaye (Ternaaien)|50.7833|5.68333
Landegem|51.05|3.56667
Landelies|50.3833|4.35
Langerbrugge|51.1167|3.73333
Langerlo|50.95|5.5
Lanklaar|51.0167|5.71667
Lanquesaint|50.65|3.8
Laplaigne|50.5167|3.43333
Lauwe|50.8|3.18333
Le Roeulx|50.5|4.1
Ledeberg|51.0333|3.75
Leffinge|51.1667|2.88333
Lembeek|50.7167|4.21667
Leopoldsburg|51.1167|5.25
Lessines|50.7167|3.83333
Leuven|50.8833|4.7
Liefkenshoek|51.0167|3.88333
Li�ge|50.6333|5.56667
Lier|51.1333|4.56667
Lillo|51.3|4.3
Lissewege|51.3|3.18333
Lixhe|50.75|5.66667
Lobbes|50.35|4.25
Lokeren|51.1|3.98333
Lommel|51.2333|5.3
Lot|50.7667|4.26667
Lozen|51.2|5.56667
Lummen|50.9833|5.2
Lustin|50.3833|4.9
Maaseik|51.1|5.8
Maasmechelen|50.8167|5.66667
Maffle|50.6167|3.8
Maisi�res|50.4833|3.95
Manage|50.5|4.21667
Maransart|50.6667|4.45
Marche-les-Dames|50.4833|4.96667
Marchienne-au-Pont|50.4|4.38333
Marly|50.8833|4.38333
Massenhoven|51.2|4.61667
Maubray|50.55|3.5
Maurage|50.45|4.08333
Mechelen|51.0333|4.46667
Meer|51.45|4.73333
Meerhout|51.1333|5.08333
Meigem|51.0167|3.53333
Meilegem|50.9|3.7
Melle|51|3.8
Melsen|50.9667|3.7
Menen|50.8|3.11667
Merelbeke|51|3.75
Merendree|51.0833|3.58333
Merkem|50.95|2.85
Merksem|51.25|4.45
Mespelare|51|4.06667
Moen|50.7667|3.4
