destination|lat|long
Vilgertshofen|47.95|10.9167
Vilsbiburg|48.45|12.35
Vinn|51.4333|6.63333
Vitte (Hiddensee)|54.5667|13.1
Vockfey|53.2333|10.9333
Volkach|49.8667|10.2333
Wabern|51.1|9.33333
Walheim|49.0167|9.15
Walsum|51.5333|6.7
Waltrop|51.6333|7.4
Wandersleben|50.9|10.85
Wangerooge|53.8|7.9
Wankendorf|54.1167|10.2
Wanne-Eickel|51.5333|7.16667
Warnem�nde|54.1667|12.0833
Watzerath|50.1833|6.35
Waxweiler|50.1|6.36667
Wedlenstedt|52.25|-10.4
Wedtlenstedt|52.2667|10.4167
Weener|53.1667|7.35
Wehingen|48.15|8.8
Weikersheim|49.4833|9.9
Weilerswist|50.7667|6.83333
Weinstadt|48.8167|9.36667
Weisenheim am Sand|49.5167|8.23333
Weissenburg in Bayern|49.0333|10.9667
Weissenthurm|50.4167|7.45
Weitnau|47.6333|10.1167
Wemmetsweiler|49.3667|7.08333
Werrich|51.65|6.53333
Wesel|51.6667|6.61667
Westeraccumersiel|53.6667|7.48333
Wester-Ohrstedt|54.5167|9.18333
Wickrath|51.1333|6.41667
Wiesens|53.45|7.58333
Wilhelmshaven|53.5167|8.13333
Willmersdorf|52.6667|13.6833
Wimmer|52.3333|8.43333
Windheim|52.4|9.01667
Windsbach|49.25|10.8167
Winnweiler|49.5667|7.85
Wipperdorf|51.45|10.6667
Wischhafen|53.7833|9.31667
Wittd�n|54.6333|8.4
Wittenberge|53.0167|11.75
Wittichenau|51.3833|14.25
Wittlage|52.3167|8.36667
Wohlenberg|53.9333|11.25
Wolfsburg|52.4333|10.8
Wolkenstein|50.65|13.0667
Wolzig|52.2667|13.8333
Worringen|51.05|6.85
W�rth an der Donau|49|12.4
Wriezen|52.7167|14.1333
Wrist|53.9333|9.75
Zahna|51.9167|12.7833
Zaisenhausen|49.1|8.81667
Zechlinerh�tte|53.15|12.8833
Zehdenick|52.9667|13.3167
Zehren|51.2|13.4
Zellertal|49.6333|8.13333
Zeuthen|52.35|13.6333
Zingst|54.4333|12.6833
Zinnowitz|54.0667|13.9
Zuzenhausen|49.2833|8.81667
